Keys,Definitions
"tơpŭ, măt tơpŭ",having same name
tơpŭ,to put something on someone's back for him to carry
tơpŭng,bat 
tơr ,period of time 
tơra ,sickness in stomach as when wet from rain
tơrăn,to be weak
tơring,"a group of villages under one jurisdiction, an area that includes many villages "
tơring-tơrang,intensive form of tơring
tơrơ ,"to be afraid, shake from fear"
tơsen,"greedy, selfish, miserly"
tơsĕr,to slip
tơsi,comb
tơsĭn,nine
tơsŭl,"of string, to be all tangled up"
tơtă,to accuse
tơteh,to knock; to fight each other
tơtei,to shake as when cold
tơtĕnh,hurry up 
tơtir,"rags used to clean with, etc."
tơtir-tơtăn,clothes 
tơtĭnh,"to think, figure out "
tơtŏ,warmer 
tơtôm-tơtĕch,"everything, all kinds "
tơtrăp-tơtrĭn,very heavy 
tơtreh,to shake head as when shaking water off 
tơtroi,a few people walking one behind another
tơtrôi,many people walking one behind another
tơtrơn,to be one on top of another
tơtuh,"to flap wings, to shake clothes"
tơwih,"to make to go home, to take home, to pay back, bring back"
tơwir,"to make oneself like another person or like an animal, make something like something else"
tơyông,sticky rice
tỡk,"to suck in on pipe to light, to hunt fish with a torch "
tỡk,to put out light or fire 
tỡ ,to reach as with hand
"tỡl, tôm-tĕch tôm-tỡl","everything, all kinds "
tỡm,to butt 
tỡp,until 
tỡng ,"if, when "
tỡr,"board, plank, lumber"
tỡr mơk,larva of dragonfly 
trah,"to throw out a net, to throw over shoulder"
trang,of cane like sugarcane but not edible
trăl,"to stay up, not sleep"
trăm,to place wood in water so that termites will not eat later on 
trăp ,heavy
trăp-trĭn,intensive of trăp
tre-wĕt,a bird that is about the same size as a pigeon but with very slender long legs
trem,"a good crop, much fruit "
tret,to cut off sections of a log
trĕng,reed used to sip wine
trĕp,to peek
tring,to pour liquid into something small as a glass
"triu, bơbe triu",sheep
troch,to sharpen a stick or pencil
trom,trunk of an elephant
trong,"road, path"
trong sơlah,fork or intersection
trop,a small fish trap used to catch sleeping fish
trŏ,"correct, accurate, right; to be (accurately) hit or affected by something"
'long trŏ,sliver
trŏl,of water to boil 
trôih,to mend something that is woven with bamboo
trỗ,"to put on shoes, socks, ring"
trơ-wơ,type of corn-like plant seed of which is used to make wine and other things 
trơn ,"to pile on, place one on top of another"
trỡp,swamp
truh,"to arrive, reach"
trum,of clothes to be black 
truŏ-trua,to designate a straight tree 
trŭt,"to shrink, to release from stretching "
tu,the headwaters or source of stream; north 
tu-ru tu-ru,the noise of a dog barking 
tuang,to spread out
tuch-luch,the very end
tuĕnh,"to twist, of stomach to twist and turn and be painful "
tuh,"to pour; of sweat to pour out; of frogs to lay eggs, of animals to give birth "
tung,to carry on the shoulder 
tuơh,to scoop 
tur,"in, inside"
tŭk,to throw out fog
tŭl,"dull, not pointed"
"tŭl, ti tŭl",arm amputated 
tŭl ,to pound meat 
tŭl bơbŭl,of round things to roll when they fall
tŭn,to push something away from you 
tŭng ,to begin to
tŭng blŭng,"to begin, the beginning "
tŭng dik ,strong young man
"tŭng, klăn tŭng",the shorter variety of python
tŭp-tŭp,mudhen
tŭr,to hit with the side of the hand
tưk,to pry up as in rolling stones
uak-uak,to tear or split something easy and straight
uăk uăk,"the cry of chickens, birds"
uh,"woods, brush and weeds"
uh,"to massage, rub "
uing-duỡt kơ uing dơwing,description of a very large village
um,to winnow rice
um,"drawing, picture, shape"
"uơuih(, 'wơ'wih)",to look here and there for
uỡt,to do aimlessly
ŭ,name of large Vietnamese hen
ŭk,to throw out
ŭnh,"fire, stove, lantern"
ŭnh om,husband and wife
ư,to praise
"ư-ŏ, pơgang ư-ŏ",type of medicine used to stop spirits from entering village
ư,yes 
ưh,"no, negative marker"
ư-hữ ư-hă,noise of ghosts
ưih ưih,noise of groaning or noise of a ghost
ữ,yes 
wah,"to fish by rod, line "
wai,spider 
wai,to set up thread for weaving 
wai ning,the evening star 
wang,"altogether, all, completely "
wang,to come together
wang,to encircle
wao,to understand
war,to make fence as around garden 
war,enough with some left over 
way way,to describe difficult situation 
wă,"to want, be about to, in order to "
wă,imperative particle occurring clause final
wăn,spare time 
wăn,to wind up as thread 
wây,final question particle 
weh,to turn aside 
wei,"to herd, shepherd, watch over, rule, guard, keep"
wek,of a thorn to scratch 
wen ,"to roll up, curl up body "
wer,to detour 
wet,to pull trigger of gun crossbow 
wĕch,to twist to break off fruit from tree
wĕch,the top part of a tree; the ending of a story (as opposed to trunk of tree or in abstract form beginning) 
wĕl,to spin 
wĕm,hooked as hooked bill 
wĕnh,to wring
wêk-wơwêk,"noise of pig crying, oink oink"
wêt ,to pucker up to cry 
wi wi ,noise of buzzing
wih,to return go home 
wing ,backwater
"wing, năm wing","to go the long way, detour"
"wing, wing măt",to be dizzy 
wir ,to transform one body 
kiĕk wir,a tiger that is able to make itself into a man
woch,rice cooked in wrapped leaves
wok,the noise of someone calling
wong,howdah
"wong, prit wong ",a long yellow type of banana 
wŏng ,to cut grass with a sickle 
săng wŏng ,small sickle 
wŏng tar,the morning star
wôi-wơwôi,to indicate many people crying
wơh,"to order, command, send"
wơih,"to scrape out of the way, to scrape out and throw away"
wơk,description of rooster crowing
wơnh,"to be crazy, out of one's mind"
"wơwăl, chă wơwăl",to look here and there 
wỡ ,to grow physically 
wỡl,"breadth, width"
wỡl wang ,"to be stuffy, dark "
wỡn ,to invite
wỡr,"to drive a car, row a boat "
wỡt ,time occurrence
bar wỡt ,two times
wưch,to be able to see only a bit of something as it passes
yah,if
yaih,to untie 
yak,to walk go 
yang,"spirits, nonhuman beings  that affect humans "
yă,grandmother honorific term for older women 
yă,what thing? What?
yă,must 
"yă rak, pơyan yă rak",the coldest season of the year 
yeng,to carry a backbasket with a strap on one shoulder only 
yhĕ,intensive 
hơlĕnh dêh yĕl,to lie very much 
yĕng,"to do what is planned, come to pass"
yêh,exclamation of surprise 
"yi, y",final question particle often used with rhetorical questions
"yih, yh","final question particle similar to yi, y"
yĭ,a cry used to guide oxen to turn to the left
yo,to be offended
nĕ kơ jỗ yo,"pardon me, excuse me, forgive me "
yo,because
yoch,"to be mistaken, commit sin, crime"
yoh,"to not stop by, go right by "
yom,to obey respect 
yon ,to stretch out legs
yŏ,"to be impolite to, gossip about"
yŏk-yŏk,to do with determined spirit
yŏl,banana bud
yŏng,"leader, boss; full grown animal (possibly female only); large e.g. large bamboo"
yŏng,"very clever more, clever than most people"
yŏu,to catch fish with a basket
yô yô yô,words used to call horses
yôh,more than 
yôk ,ceremony for a dead person
yôk-yak,polite way to say one is a little older than another 
yôp,to smile 
yơ,where
"yơyôy, ô yơyôi","expression of disgust, self-pride or surprise"
yơyŭi,to shake all over from cold
yỡl,to wear on head
yỡp,shade 
yỡr,"to wave hands, raise hands "
dỡng yỡr,height of a person from feet to fingertips of upstretched arms
yua,"to use, be of value"
yua,because
yuă,to cut hair or rice 
Yuăn,"Vietnamese, Viet Nam"
Yuăn Ngô,Chinese
prit Yuăn,short fat yellow bananas
yue,to scorn by facial gestures or expressions 
yuh ,to perspire from a fever 
yuh ,"steam, smoke "
yuh ,"time, short period of time"
minh yuh ,short period of time
yuih,"to take down or take apart as a house, to take out of a basket or a cupboard"
yuơ,to be useful
